,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,The Pas,90,CA,1562094338,59,53.82,-101.24,60.8,13.87
1,Ushuaia,40,AR,1562094139,89,-54.81,-68.31,33.8,17.22
2,Punta Arenas,20,CL,1562094338,74,-53.16,-70.91,35.6,6.93
3,Kokstad,0,ZA,1562094338,32,-30.55,29.42,42.23,5.73
4,Thompson,75,CA,1562094131,62,55.74,-97.86,57.2,19.46
5,Bluff,49,AU,1562094339,82,-23.58,149.07,58.07,4.61
6,Changping,0,CN,1562094339,94,40.22,116.23,82.99,2.24
7,Kalmunai,100,LK,1562094339,71,7.42,81.82,78.41,0.81
8,Port Alfred,24,ZA,1562094339,45,-33.59,26.89,68.0,7.0
9,Kodiak,40,US,1562094340,19,39.95,-94.76,91.99,5.82
10,Bandarbeyla,2,SO,1562094340,52,9.49,50.81,84.53,23.67
11,Yar-Sale,0,RU,1562094340,46,66.83,70.83,70.13,9.57
12,Porto Novo,0,BR,1562094340,36,-23.68,-45.44,80.6,9.17
13,Samarai,96,PG,1562094341,93,-10.62,150.67,72.11,5.86
14,Garmsar,0,IR,1562094341,41,35.22,52.34,76.43,8.9
15,Mataura,100,NZ,1562094341,86,-46.19,168.86,46.0,1.99
16,Bambous Virieux,40,MU,1562094342,68,-20.34,57.76,71.6,11.41
17,Yellowknife,75,CA,1562094342,81,62.45,-114.38,51.8,13.87
18,Lorengau,9,PG,1562094068,85,-2.02,147.27,78.23,8.48
19,Busselton,15,AU,1562094343,70,-33.64,115.35,45.0,10.63
20,Vaini,100,IN,1562094343,85,15.34,74.49,77.69,3.83
21,Waconia,40,US,1562094343,65,44.85,-93.79,84.0,5.1
22,Hasaki,75,JP,1562094344,94,35.73,140.83,70.0,1.12
23,Zhuhai,0,CN,1562094344,82,40.71,112.04,55.4,2.24
24,Bredasdorp,97,ZA,1562094344,55,-34.53,20.04,64.4,18.34
25,Puerto Ayora,20,EC,1562094344,58,-0.74,-90.35,82.4,19.46
26,Lagoa,0,PT,1562094345,69,37.14,-8.45,79.0,8.05
27,Zaysan,50,KZ,1562094345,48,47.47,84.87,52.85,4.74
28,Tonantins,95,BR,1562094345,94,-2.86,-67.77,75.71,2.13
29,Hilo,75,US,1562094327,54,19.71,-155.08,82.4,5.82
30,San Patricio,100,PY,1562094345,88,-26.98,-56.83,60.95,1.57
31,Hithadhoo,100,MV,1562094242,70,-0.6,73.08,84.53,9.48
32,Rikitea,100,PF,1562094346,74,-23.12,-134.97,69.59,21.83
33,Cherskiy,77,RU,1562094346,74,68.75,161.3,44.39,14.67
34,Saint-Philippe,1,CA,1562094346,48,45.36,-73.48,86.0,4.7
35,Charlottetown,90,CA,1562094126,87,46.23,-63.13,61.0,11.41
36,La Ronge,90,CA,1562094347,62,55.1,-105.3,57.2,16.11
37,Pandan,100,PH,1562094347,75,11.72,122.09,81.47,4.41
38,Vostok,71,RU,1562094347,95,46.45,135.83,54.83,3.02
39,Havelock,75,US,1562094347,52,34.88,-76.9,93.2,8.05
40,Upernavik,4,GL,1562094348,83,72.79,-56.15,41.15,6.89
41,Ostrovnoy,83,RU,1562094348,72,68.05,39.51,54.83,11.34
